state,participation,composite,english,math,reading,science,med_income
Alabama,1.0,19.066666666666666,18.9,18.4,19.7,19.4,56552.0
Alaska,0.45333333333333337,20.233333333333334,18.7,19.8,20.4,19.9,81146.0
Arizona,0.6699999999999999,19.3,18.6,19.8,20.1,19.8,69361.0
Arkansas,1.0,19.366666666666664,18.9,19.0,19.7,19.5,55499.0
California,0.27,22.7,22.5,22.7,23.1,22.2,78746.0
Colorado,0.5233333333333333,22.833333333333332,20.1,20.3,21.2,20.9,79503.0
Connecticut,0.26333333333333336,25.433333333333334,25.5,24.6,25.6,24.6,84398.0
Delaware,0.16,24.0,24.1,23.4,24.8,23.6,73524.0
District of Columbia,0.32,23.85,24.4,23.5,24.9,23.5,93678.0
District of columbia,0.32,23.6,0.0,0.0,0.0,0.0,
Florida,0.6433333333333334,19.933333333333334,19.0,19.4,21.0,19.4,59830.0
Georgia,0.5233333333333333,21.399999999999995,21.0,20.9,22.0,21.3,61443.0
Hawaii,0.8633333333333333,18.966666666666665,17.8,19.2,19.2,19.3,87015.0
Idaho,0.35000000000000003,22.366666666666664,21.9,21.8,23.0,22.1,66352.0
Illinois,0.57,23.2,21.0,21.2,21.6,21.3,75814.0
Indiana,0.32,22.53333333333333,22.0,22.4,23.2,22.3,66751.0
Iowa,0.67,21.766666666666666,21.2,21.3,22.6,22.1,71431.0
Kansas,0.7200000000000001,21.5,21.1,21.3,22.3,21.7,69800.0
Kentucky,1.0,20.0,19.6,19.4,20.5,20.1,57584.0
Louisiana,1.0,19.166666666666668,19.4,18.8,19.8,19.6,52289.0
Maine,0.07,24.15,24.2,24.0,24.8,23.7,64249.0
Maryland,0.29000000000000004,22.8,23.3,23.1,24.2,2.3,95016.0
Massachusetts,0.25,25.46666666666667,25.4,25.3,25.9,24.7,90127.0
Michigan,0.2333333333333333,24.233333333333334,24.1,23.7,24.5,23.8,65172.0
Minnesota,0.98,21.400000000000002,20.4,21.5,21.8,21.6,80374.0
Mississippi,1.0,18.533333333333335,18.2,18.1,18.8,18.8,47153.0
Missouri,0.94,20.400000000000002,19.8,19.9,20.8,20.5,64433.0
Montana,1.0,20.033333333333335,19.0,20.2,21.0,20.5,63158.0
National,0.56,20.85,20.3,20.7,21.4,21.0,
Nebraska,0.9466666666666667,20.5,20.9,20.9,21.9,21.5,72068.0
Nevada,1.0,17.8,16.3,18.0,18.1,18.2,68681.0
New Hampshire,0.16,25.2,25.4,25.1,26.0,24.9,87818.0
New Jersey,0.3,23.933333333333334,23.8,23.8,24.1,23.2,83914.0
New Mexico,0.6533333333333333,19.466666666666665,18.6,19.4,20.4,20.0,52928.0
New York,0.26666666666666666,24.400000000000002,23.8,24.0,24.6,23.9,72252.0
North Carolina,1.0,19.066666666666666,17.8,19.3,19.6,19.3,59053.0
North Dakota,0.9733333333333333,20.166666666666668,19.0,20.4,20.5,20.6,70824.0
Ohio,0.9166666666666666,20.766666666666666,21.2,21.6,22.5,22.0,67368.0
Oklahoma,1.0,19.2,18.5,18.8,20.1,19.6,59674.0
Oregon,0.41333333333333333,21.400000000000002,21.2,21.5,22.4,21.7,74188.0
Pennsylvania,0.20000000000000004,23.599999999999998,23.4,23.4,24.2,23.3,70718.0
Rhode Island,0.16,24.3,24.0,23.3,24.7,23.4,71270.0
South Carolina,0.9266666666666667,18.599999999999998,17.5,18.6,19.1,18.9,62664.0
South Dakota,0.7733333333333334,21.766666666666666,20.7,21.5,22.3,22.0,65053.0
Tennessee,1.0,19.599999999999998,19.5,19.2,20.1,19.9,60542.0
Texas,0.43,20.633333333333333,19.5,20.7,21.1,20.9,67466.0
Utah,1.0,20.333333333333332,19.5,19.9,20.8,20.6,83287.0
Vermont,0.24333333333333332,23.933333333333337,23.3,23.1,24.4,23.2,74910.0
Virginia,0.24666666666666667,23.900000000000002,23.5,23.3,24.6,23.5,82560.0
Washington,0.25666666666666665,22.066666666666666,20.9,21.9,22.1,22.0,84158.0
West Virginia,0.61,20.5,20.0,19.4,21.2,20.5,54461.0
Wisconsin,1.0,20.433333333333334,19.7,20.4,20.6,20.9,69706.0
Wyoming,1.0,20.0,19.4,19.8,20.8,20.6,67436.0
